,Event,Date,Location,W/L 1,Fighter 1,Fighter 2,Weight class,Stance,Career W,Career L,born_year,W,L,Num Fights,W Perc,Sig Strikes Avg,Sig Str %,Sig Strikes Opp Avg,Sig Str % Opp,Strikes Avg,Str %,Strikes Opp Avg,Str % Opp,TD Avg,TD %,TD Opp Avg,TD % Opp,KD Avg,KD Opp Avg,DEC Avg,KO Avg,SUB Avg,DEC Opp Avg,KO Opp Avg,SUB Opp Avg,CTRL Avg,CTRL Opp Avg,Time Avg,Streak,Ht Diff,Reach Diff,Age,Career Fights,Career W Perc
0,UFC Fight Night: Thomas vs Florian,2007-09-19,"Las Vegas, Nevada, USA",win,Gray Maynard,Joe Veres,Lightweight,Orthodox,2,0,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,2.0,100.0
1,UFC Fight Night: Swick vs Burkman,2008-01-23,"Las Vegas, Nevada, USA",win,Gray Maynard,Dennis Siver,Lightweight,Orthodox,3,0,1979,1.0,0.0,1.0,100.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,29.0,3.0,100.0
2,UFC Fight Night: Florian vs Lauzon,2008-04-02,"Broomfield, Colorado, USA",win,Gray Maynard,Frankie Edgar,Lightweight,Orthodox,4,0,1979,2.0,0.0,2.0,100.0,14.5,39.189189189189186,8.0,40.0,77.5,65.12605042016807,0.0,0.0,0.5,50.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,325.0,77.5,454.5,2.0,3.0,2.0,29.0,4.0,100.0
3,UFC 90: Silva vs Cote,2008-10-25,"Rosemont, Illinois, USA",win,Gray Maynard,Rich Clementi,Lightweight,Orthodox,5,0,1979,3.0,0.0,3.0,100.0,16.0,17.91044776119403,14.0,13.418530351437699,62.0,47.32824427480916,0.0,0.0,0.6666666666666666,28.57142857142857,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,342.6666666666667,62.0,603.0,3.0,0.0,-2.0,29.0,5.0,100.0
4,UFC 96: Jackson vs Jardine,2009-03-07,"Columbus, Ohio, USA",win,Gray Maynard,Jim Miller,Lightweight,Orthodox,6,0,1979,4.0,0.0,4.0,100.0,17.5,17.3697270471464,12.25,11.264367816091953,51.5,41.86991869918699,0.0,0.0,0.5,28.57142857142857,0.0,0.0,0.5,0.0,0.75,0.25,0.0,0.0,0.0,0.0,402.25,49.75,677.25,4.0,1.0,-1.0,30.0,6.0,100.0
5,UFC Fight Night: Diaz vs Guillard,2009-09-16,"Oklahoma City, Oklahoma, USA",win,Gray Maynard,Roger Huerta,Lightweight,Orthodox,7,0,1979,5.0,0.0,5.0,100.0,21.4,17.627677100494235,14.8,12.5,46.8,33.62068965517241,0.0,0.0,0.4,13.333333333333334,0.0,0.0,0.4,0.0,0.8,0.2,0.0,0.0,0.0,0.0,346.8,57.0,721.8,5.0,0.0,0.0,30.0,7.0,100.0
6,UFC Fight Night: Maynard vs Diaz,2010-01-11,"Fairfax, Virginia, USA",win,Gray Maynard,Nate Diaz,Lightweight,Orthodox,8,0,1979,6.0,0.0,6.0,100.0,21.666666666666668,16.229712858926344,19.0,13.225058004640372,49.333333333333336,28.083491461100568,0.0,0.0,0.3333333333333333,13.333333333333334,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,321.3333333333333,57.5,751.5,6.0,-3.0,-6.0,31.0,8.0,100.0
7,UFC 118: Edgar vs Penn 2,2010-08-28,"Boston, Massachusetts, USA",win,Gray Maynard,Kenny Florian,Lightweight,Orthodox,9,0,1979,7.0,0.0,7.0,100.0,24.428571428571427,16.39501438159156,26.285714285714285,14.099616858237548,53.285714285714285,23.84910485933504,0.0,0.0,0.2857142857142857,11.11111111111111,0.0,0.0,0.2857142857142857,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,277.0,49.285714285714285,772.7142857142857,7.0,-1.0,-4.0,31.0,9.0,100.0
8,UFC 136: Edgar vs Maynard 3,2011-10-08,"Houston, Texas, USA",,Gray Maynard,Frankie Edgar,Lightweight,Orthodox,10,0,1979,8.0,0.0,8.0,100.0,23.125,14.682539682539684,24.875,12.30674087816945,52.5,24.662360540223137,0.0,0.0,0.875,28.000000000000004,0.0,0.0,0.25,0.0,0.875,0.125,0.0,0.0,0.0,0.0,242.375,93.0,788.625,8.0,3.0,2.0,32.0,10.0,100.0
9,UFC on FX: Maynard vs Guida,2012-06-22,"Atlantic City, New Jersey, USA",win,Gray Maynard,Clay Guida,Lightweight,Orthodox,10,1,1979,8.0,1.0,9.0,88.88888888888889,25.22222222222222,14.983498349834983,28.88888888888889,13.837147418839809,53.77777777777778,23.517978620019438,0.0,0.0,0.7777777777777778,19.444444444444446,0.0,0.0,0.3333333333333333,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,217.22222222222223,84.33333333333333,827.0,-1.0,2.0,0.0,33.0,11.0,90.9090909090909
10,UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",,Gray Maynard,TJ Grant,Lightweight,Orthodox,11,1,1979,9.0,1.0,10.0,90.0,27.6,14.374999999999998,30.5,12.82051282051282,53.3,19.696969696969695,0.0,0.0,0.7,17.94871794871795,0.0,0.0,0.3,0.1,0.8,0.1,0.0,0.0,0.1,0.0,202.5,80.6,894.3,1.0,-1.0,-2.0,34.0,12.0,91.66666666666666
11,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,"Las Vegas, Nevada, USA",,Gray Maynard,Nate Diaz,Lightweight,Orthodox,11,2,1979,9.0,2.0,11.0,81.81818181818183,27.454545454545453,13.72103589277601,28.90909090909091,11.63130943672275,49.63636363636363,19.768283852280955,0.0,0.0,0.6363636363636364,17.94871794871795,0.0,0.0,0.5454545454545454,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,185.45454545454547,73.27272727272727,824.5454545454545,-1.0,-3.0,-6.0,34.0,13.0,84.61538461538461
